         ps       /tb/rst        /tb/x             
          delta     /tb/ena   /tb/detector         
                      /tb/clk                      
                       /tb/DetectionCode           
   15500000  +1         0 1 0 00011011 2 0 
   15550000  +1         0 1 1 00011011 2 0 
   15600000  +1         0 1 0 00011000 2 0 
   15650000  +1         0 1 1 00011000 2 0 
   15700000  +1         0 1 0 00010101 2 0 
   15750000  +1         0 1 1 00010101 2 0 
   15800000  +1         0 1 0 00010010 2 0 
   15850000  +1         0 1 1 00010010 2 0 
   15900000  +1         0 1 0 00001111 2 0 
   15950000  +1         0 1 1 00001111 2 0 
   16000000  +1         0 1 0 00001100 2 0 
   16050000  +1         0 1 1 00001100 2 0 
   16100000  +1         0 1 0 00001001 2 0 
   16150000  +1         0 1 1 00001001 2 0 
   16200000  +1         0 1 0 00000110 2 0 
   16250000  +1         0 1 1 00000110 2 0 
   16300000  +1         0 1 0 00000011 2 0 
   16350000  +1         0 1 1 00000011 2 0 
   16400000  +1         0 1 0 00000000 2 0 
   16450000  +1         0 1 1 00000000 2 0 
   16500000  +1         0 1 0 00000011 2 0 
   16550000  +1         0 1 1 00000011 2 0 
   16600000  +1         0 1 0 00000110 2 0 
   16650000  +1         0 1 1 00000110 2 0 
   16700000  +1         0 1 0 00001001 2 0 
   16750000  +1         0 1 1 00001001 2 0 
   16800000  +1         0 1 0 00001100 2 0 
   16850000  +1         0 1 1 00001100 2 0 
   16900000  +1         0 1 0 00001111 2 0 
   16950000  +1         0 1 1 00001111 2 0 
   17000000  +1         0 1 0 00010010 2 0 
   17050000  +1         0 1 1 00010010 2 0 
   17100000  +1         0 1 0 00010101 2 0 
   17150000  +1         0 1 1 00010101 2 0 
   17200000  +1         0 1 0 00011000 2 0 
   17250000  +2         0 1 1 00011000 2 1 
   17300000  +1         0 1 0 00011011 2 1 
   17350000  +1         0 1 1 00011011 2 1 
   17400000  +1         0 1 0 00011110 2 1 
   17450000  +1         0 1 1 00011110 2 1 
   17500000  +1         0 1 0 00100001 3 1 
   17550000  +2         0 1 1 00100001 3 0 
   17600000  +1         0 1 0 00100100 3 0 
   17650000  +1         0 1 1 00100100 3 0 
   17700000  +1         0 1 0 00100111 3 0 
   17750000  +1         0 1 1 00100111 3 0 
   17800000  +1         0 1 0 00101010 3 0 
   17850000  +1         0 1 1 00101010 3 0 
   17900000  +1         0 1 0 00101101 3 0 
   17950000  +1         0 1 1 00101101 3 0 
   18000000  +1         0 1 0 00110000 2 0 
   18050000  +1         0 1 1 00110000 2 0 
   18100000  +1         0 1 0 00110011 2 0 
   18150000  +1         0 1 1 00110011 2 0 
